transactions,virtual_execution_time,platform_execution_time,coroutines_execution_time,goroutines_execution_time
100.000,53.7,35.2,49.9,21.2
200.000,104.6,121.0,99.2,39.0
300.000,160.1,204.5,152.9,69.8
400.000,206.7,256.6,209.3,112.2
500.000,267.3,337.9,263.2,152.7
