max_depth,virtual_max_cpu_usage,virtual_mean_cpu_usage,platform_max_cpu_usage,platform_mean_cpu_usage,coroutines_max_cpu_usage,coroutines_mean_cpu_usage,goroutines_max_cpu_usage,goroutines_mean_cpu_usage
1,13,12,16,12,13,12,12,12
2,24,24,27,24,24,24,24,23
3,42,41,43,41,44,42,42,41
4,77,74,79,75,79,76,73,71
5,75,72,75,72,77,75,67,64
6,72,70,76,73,78,73,68,67
