delay,virtual_execution_time,platform_execution_time,coroutines_execution_time,goroutines_execution_time
10,56.1,29.4,65.5,34.5
20,59.9,45.6,63.9,42.2
30,57.8,61.3,75.4,65.6
40,73.6,75.4,92.2,73.7
50,87.9,92.2,106.1,90.0
60,104.7,108.8,120.6,106.5
70,120.8,124.7,139.2,123.0
80,136.3,139.4,153.1,139.3
90,151.5,155.9,167.4,153.7
100,166.4,170.8,183.7,168.1
